ID,Filename,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
310,parsed.310.txt,1,3675,25.17,34.69,77.09,47.97,5.74,1.69,0.73,0.27,0.03,0.14,0.52,4.05,9.77,8.27,6.23,1.33,4.14,1.52,3.07,15.1,5.39,0.82,3.59,0.79,0,3.35,0,0,0.22,3.59,2.37,1.2,0.6,0.11,0.11,16.84,2.97,2.69,2.1,2.53,1.5,0.46,3.92,2.18,0.79,0.3,0.03,0.41,0.22,0.05,0.11,0,0.05,12.05,1.77,5.44,4.73,6.04,3.54,0.19,0.05,3.46,0,0.03,0.03,0.27,0.08,4.16,5.28,0,0,0.05,0,1.69,0.76,0.6,0.05,0,12.65
311,parsed.311.txt,1,5,5,80,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,parsed.312.txt,1,3127,24.05,31.63,79.66,48.03,4.83,1.54,0.16,0.77,0,0,0.61,3.29,8.41,8.89,7.13,2.24,3.87,1.31,3.26,16.92,5.21,0.58,3.39,0.61,0,2.11,0,0,0,5.12,2.85,2.24,0.93,0.1,0.45,13.98,1.6,2.69,1.15,2.53,1.31,0.74,3.65,1.57,0.61,0.16,0.03,0.26,0.54,0.06,0.42,0,0.06,18.32,2.3,7.74,8.03,5.31,3.01,0.19,0.67,5.28,0.03,0,0,0.26,0,4.38,5.98,0.03,0.03,0,0,1.18,0,0.06,0,0.1,11.77
313,parsed.313.txt,1,604,25.17,28.81,80.63,48.68,6.29,2.15,0.99,0.5,0,0.17,0.5,4.14,10.26,7.28,5.96,2.65,3.48,0.5,1.82,17.22,5.3,0.33,2.32,0.99,0,2.81,0,0.33,0.66,7.45,6.95,0.5,0,0,0.17,11.42,1.99,0.66,0.83,2.65,1.32,0.66,3.31,1.82,0,0,0,0,0.17,0,0.17,0,0,13.08,0.5,5.79,6.13,4.97,2.81,0,0.5,9.11,0,0.17,0,0,0,4.97,6.95,0,0,0,0,1.49,0.33,1.16,0,0.17,15.07
314,parsed.314.txt,1,14109,28.68,28.92,72.14,46.03,4.57,1.29,0.48,0.18,0,0.08,0.55,3.28,10.66,8.91,5.64,1.03,3.93,1.2,2.71,15.45,5.46,0.45,3.14,0.97,0,2.48,0.02,0,0.04,3.86,2.47,1.37,0.48,0.3,0.23,16.34,2.7,3.56,1.55,3.13,1.41,0.48,3.62,1.57,0.7,0.27,0.11,0.21,0.3,0.08,0.16,0.01,0.06,11.4,1.66,6.29,3.23,4.61,2.37,0.22,0.01,1.89,0.04,0,0,0.08,0.04,4.61,5.63,0.16,0.06,0.07,0.01,2.03,0.94,0.23,0.63,1.38,16.37
315,parsed.315.txt,1,2498,22.5,30.66,80.58,47.12,4.72,1.56,0.36,0.6,0,0,0.6,3.16,9.21,9.37,6.45,3.12,3.8,0.84,2.24,16.89,4.2,0.56,3.52,1.52,0,2,0.04,0,0.08,5.56,2.92,2.6,0.48,0.44,0.6,13.49,1.84,2.68,0.44,2.56,1.64,0.6,3.48,0.84,1.08,0.24,0.12,0.68,0.76,0.08,0.48,0,0.2,17.85,2.8,7.25,7.53,6.65,3.84,0.08,0.6,6.37,0,0,0,0.24,0.04,4.72,5.56,0.2,0.04,0,0,2.36,0,0.08,0.04,0.2,13.25
316,parsed.316.txt,1,2485,26.72,33.96,74.33,42.21,4.43,1.21,0,0.52,0.04,0,0.64,3.22,8.13,7.85,4.99,1.29,4.47,0.24,2.54,15.29,5.63,0.6,3.18,0.64,0,4.14,0.04,0.04,0.12,4.95,3.22,1.69,0.16,0.32,0.6,14.45,1.73,3.02,0.52,1.69,0.6,1.09,4.59,1.49,0.24,0.08,0,0.16,0.68,0.04,0.48,0,0.16,10.78,2.09,5.71,2.74,6.28,2.45,0.24,1.81,9.26,0.04,0,0.08,0.2,0,3.9,4.95,0.08,0.12,0.04,0,2.94,0.32,0.28,0.2,0,13.04
317,parsed.317.txt,1,3445,26.1,34.95,78.69,47.23,5.78,2.09,0.75,0.81,0.06,0,0.46,3.69,9.03,8.65,5.83,1.51,4.59,1.1,2.26,16.05,5.49,0.52,3.69,0.7,0,3.37,0.03,0,0.09,4.44,2.99,1.45,0.52,0.12,0.32,16.52,2.47,2.18,1.02,2.38,1.16,1.6,4.96,1.28,0.81,0.29,0.29,0.09,0.44,0.03,0.38,0,0.03,11.96,1.65,6.94,3.08,8.19,3.83,0.23,0.12,5.28,0.06,0.03,0,0.09,0.06,4.03,4.64,0.03,0,0.06,0,1.65,0.12,0.32,0,0.06,10.91
318,parsed.318.txt,1,2783,25.53,35.43,78.01,46.25,6.04,1.72,0.43,0.47,0.11,0,0.72,4.31,9.7,8.34,5.71,2.87,3.7,0.65,2.52,14.3,5.61,0.83,2.87,0.86,0,3.41,0,0,0.07,4.46,3.34,1.11,0.5,0.22,0.18,16.6,1.33,2.66,1.26,1.83,0.93,2.73,4.6,1.72,0.47,0.18,0.11,0.18,0.61,0,0.14,0,0.47,11.25,2.23,5.32,3.27,6.72,4.02,0.14,0.32,6.76,0.04,0.07,0,0.07,0,4.06,4.85,0.14,0,0.11,0,2.08,0.36,0.4,0.18,0.04,12.4
319,parsed.319.txt,1,2810,32.67,27.4,79.93,47.54,5.52,1.49,0.28,0.32,0.07,0.04,0.78,4.02,8.47,9.64,6.12,1.07,4.52,1.28,2.42,15.87,5.94,0.64,4.59,1.35,0,3.13,0,0,0.25,5.27,4.45,0.78,0.25,0.04,0.18,15.94,2.99,3.2,1.46,2.53,1.21,0.21,4.31,1.71,0.71,0.07,0.25,0.14,0.04,0,0.04,0,0,13.56,2.6,7.26,3.7,4.77,2.56,0.07,3.17,8.01,0,0,0,0.07,0.07,4.91,5.02,0.25,0.11,0.11,0,2.28,0.21,0.32,0.14,0.11,13.59
320,parsed.320.txt,1,2508,22.8,31.42,80.42,47.33,4.63,1.67,0.36,0.68,0.04,0.04,0.56,2.95,8.85,8.97,6.42,3.51,3.31,0.64,2.79,17.11,4.59,0.56,3.35,1.4,0,2.07,0.04,0,0.12,5.86,3.07,2.75,0.52,0.44,0.72,13.12,1.75,2.79,0.4,2.07,1.48,0.72,3.71,0.88,1.04,0.24,0.16,0.6,0.84,0.08,0.56,0,0.2,17.62,2.67,7.5,7.22,6.66,3.75,0.08,0.72,6.74,0,0,0,0.32,0.04,4.59,5.5,0.08,0.04,0,0,1.99,0,0.12,0.04,0.12,12.52
321,parsed.321.txt,1,1846,25.64,30.72,82.94,49.67,6.23,1.95,0.27,1.3,0,0,0.38,4.28,9.48,8.29,5.9,0.65,4.33,1.63,2.11,17.33,5.2,0.49,5.09,0.54,0,3.79,0,0,0.33,4.55,2.6,1.84,1.19,0.27,0.11,16.14,1.68,2.98,1.95,2,1.52,1.14,3.9,2.17,0.49,0.16,0.16,0.16,0.43,0.05,0.33,0,0.05,13.54,2.17,7.37,3.85,8.34,3.41,0.05,0.43,5.9,0,0.05,0,0,0,3.85,5.74,0.11,0,0.16,0,2,0,0.33,0.16,0.05,12.57
322,parsed.322.txt,1,2764,26.58,37.26,81.01,43.42,5.35,1.63,0.22,0.25,0,0,1.16,3.73,7.24,8.47,6.3,1.66,3.94,1.45,2.21,14.04,7.2,0.58,2.75,0.36,0,5.28,0,0,0.43,7.09,3.91,3.08,2.6,0.04,0.11,19.61,4.74,2.82,2.28,1.34,1.3,0.83,5.57,1.45,0.62,0.04,0.47,0.07,0.22,0.07,0.04,0,0.11,10.09,1.81,5.07,3.08,9.08,3.87,0.29,0.11,7.45,0.04,0,0,0.11,0,3.94,3.87,0.04,0.11,0,0,1.95,0.22,0.36,0.14,0.14,10.93
323,parsed.323.txt,1,1523,26.26,30.07,78,45.31,5.38,2.04,0.2,1.38,0.13,0,0.33,3.35,7.94,11.36,6.83,1.9,5.71,1.44,2.89,14.58,5.52,1.18,4.01,0.85,0,5.52,0,0.07,0.13,4.07,2.36,1.71,0.07,0.59,0.46,17.6,2.36,2.82,1.58,2.36,1.25,1.25,4.99,2.56,0.72,0.13,0.2,0.39,0.66,0,0.33,0,0.33,10.9,2.1,5.32,3.41,5.84,2.36,0.33,2.1,8.14,0,0,0.46,0.59,0,4.14,5.32,0.2,0,0,0,3.28,0.26,0.26,0.33,0,14.12
324,parsed.324.txt,1,3294,24.04,33.61,82.42,46.51,6.1,2.55,0.33,0.67,0.06,0.09,1.4,3.55,7.44,8.04,6.19,1.03,4.71,1.31,2.91,13.54,7.86,0.82,4.01,0.3,0,4.46,0,0,0.24,8.01,3.58,4.43,2.61,0.15,0.82,19.1,2.94,2.73,1.88,2.34,1.79,1.4,6.04,1.64,0.76,0.15,0.21,0.24,0.36,0.03,0.3,0.03,0,12.48,1.91,5.95,4.22,7.71,4.95,0.49,0.15,5.89,0,0,0,0.21,0.03,4.4,6.41,0.09,0.24,0,0,1.67,0,0.64,0.03,0.06,13.57
325,parsed.325.txt,1,2152,24.45,35.36,80.48,48.42,7.62,3.76,0.6,1.81,0.14,0,1.21,3.86,6.55,9.11,5.76,1.91,4.32,1.21,3.16,15.52,7.06,0.79,4.6,0.51,0,5.53,0,0.14,0.42,4.93,2.18,2.74,0.79,0.51,0.37,19.33,2.51,2.28,1.81,2.93,1.49,0.88,6.55,1.67,0.98,0.23,0.33,0.23,0.23,0.14,0.09,0,0,13.8,1.44,7.06,4.74,5.99,3.9,1.3,0.23,3.35,0.05,0,0,0.14,0.05,4.55,5.76,0,0,0.05,0,1.44,0.37,0.23,0.19,0,12.78
326,parsed.326.txt,1,3473,26.11,28.53,81.63,47.65,5.01,1.41,0.32,0.09,0,0,1.01,3.6,9.44,10.74,8.26,1.44,5.56,1.64,2.48,13.85,4.84,0.92,3.89,1.47,0,3.25,0,0.03,0,4.46,3.2,1.21,0.06,0.4,0.2,17.36,2.07,3.25,2.59,3.25,1.27,0.89,3.22,2.65,0.75,0.26,0.29,0.2,0.32,0.06,0.26,0,0,14.25,2.76,6.54,4.84,6.62,2.79,0.14,0.2,7.28,0,0,0,0.06,0.03,4.55,5.76,0.12,0,0.12,0,2.36,0.06,0.14,0.09,0.06,13.33
327,parsed.327.txt,1,2626,27.94,36.44,77.27,43.68,5.98,2.67,0.5,0.69,0.84,0.04,0.61,3.31,7.96,8.53,5.94,1.33,4.76,1.03,2.17,14.17,5.56,0.5,3.2,0.61,0,5.48,0.04,0.04,0.08,5.67,3.85,1.83,0.5,0.27,0.27,14.78,2.17,1.9,0.8,1.75,0.99,1.22,5.48,0.99,0.8,0.38,0.15,0.19,0.72,0.15,0.5,0,0.08,13.21,2.02,5.9,5.1,6.7,3.08,0.23,0.8,7.01,0.04,0,0.11,0.15,0,4.65,5.56,0.04,0.04,0,0,2.78,0.23,0.46,0.34,0.04,14.43
