"Quarter","pres_party","house_dem_rep","senate_dem_rep"
1978.1,0,2.04195809364319,1.60526299476624
1978.2,0,2.04195809364319,1.60526299476624
1978.3,0,2.04195809364319,1.60526299476624
1978.4,0,2.04195809364319,1.60526299476624
1979.1,0,1.75316500663757,1.41463398933411
1979.2,0,1.75316500663757,1.41463398933411
1979.3,0,1.75316500663757,1.41463398933411
1979.4,0,1.75316500663757,1.41463398933411
1980.1,0,1.75316500663757,1.41463398933411
1980.2,0,1.75316500663757,1.41463398933411
1980.3,0,1.75316500663757,1.41463398933411
1980.4,0,1.75316500663757,1.41463398933411
1981.1,1,1.26041698455811,0.867924511432648
1981.2,1,1.26041698455811,0.867924511432648
1981.3,1,1.26041698455811,0.867924511432648
1981.4,1,1.26041698455811,0.867924511432648
1982.1,1,1.26041698455811,0.867924511432648
1982.2,1,1.26041698455811,0.867924511432648
1982.3,1,1.26041698455811,0.867924511432648
1982.4,1,1.26041698455811,0.867924511432648
1983.1,1,1.62048196792603,0.851851880550385
1983.2,1,1.62048196792603,0.851851880550385
1983.3,1,1.62048196792603,0.851851880550385
1983.4,1,1.62048196792603,0.851851880550385
1984.1,1,1.62048196792603,0.851851880550385
1984.2,1,1.62048196792603,0.851851880550385
1984.3,1,1.62048196792603,0.851851880550385
1984.4,1,1.62048196792603,0.851851880550385
1985.1,1,1.39011001586914,0.886792480945587
1985.2,1,1.39011001586914,0.886792480945587
1985.3,1,1.39011001586914,0.886792480945587
1985.4,1,1.39011001586914,0.886792480945587
1986.1,1,1.39011001586914,0.886792480945587
1986.2,1,1.39011001586914,0.886792480945587
1986.3,1,1.39011001586914,0.886792480945587
1986.4,1,1.39011001586914,0.886792480945587
1987.1,1,1.45762705802917,1.22222197055817
1987.2,1,1.45762705802917,1.22222197055817
1987.3,1,1.45762705802917,1.22222197055817
1987.4,1,1.45762705802917,1.22222197055817
1988.1,1,1.45762705802917,1.22222197055817
1988.2,1,1.45762705802917,1.22222197055817
1988.3,1,1.45762705802917,1.22222197055817
1988.4,1,1.45762705802917,1.22222197055817
1989.1,1,1.48571395874023,1.22222197055817
1989.2,1,1.48571395874023,1.22222197055817
1989.3,1,1.48571395874023,1.22222197055817
1989.4,1,1.48571395874023,1.22222197055817
1990.1,1,1.48571395874023,1.22222197055817
1990.2,1,1.48571395874023,1.22222197055817
1990.3,1,1.48571395874023,1.22222197055817
1990.4,1,1.48571395874023,1.22222197055817
1991.1,1,1.59880197048187,1.27272701263428
1991.2,1,1.59880197048187,1.27272701263428
1991.3,1,1.59880197048187,1.27272701263428
1991.4,1,1.59880197048187,1.27272701263428
1992.1,1,1.59880197048187,1.27272701263428
1992.2,1,1.59880197048187,1.27272701263428
1992.3,1,1.59880197048187,1.27272701263428
1992.4,1,1.59880197048187,1.27272701263428
1993.1,0,1.46590900421143,1.3255809545517
1993.2,0,1.46590900421143,1.3255809545517
1993.3,0,1.46590900421143,1.3255809545517
1993.4,0,1.46590900421143,1.3255809545517
1994.1,0,1.46590900421143,1.3255809545517
1994.2,0,1.46590900421143,1.3255809545517
1994.3,0,1.46590900421143,1.3255809545517
1994.4,0,1.46590900421143,1.3255809545517
1995.1,0,0.886956512928009,0.923076927661896
1995.2,0,0.886956512928009,0.923076927661896
1995.3,0,0.886956512928009,0.923076927661896
1995.4,0,0.886956512928009,0.923076927661896
1996.1,0,0.886956512928009,0.923076927661896
1996.2,0,0.886956512928009,0.923076927661896
1996.3,0,0.886956512928009,0.923076927661896
1996.4,0,0.886956512928009,0.923076927661896
1997.1,0,0.915929198265076,0.818181812763214
1997.2,0,0.915929198265076,0.818181812763214
1997.3,0,0.915929198265076,0.818181812763214
1997.4,0,0.915929198265076,0.818181812763214
1998.1,0,0.915929198265076,0.818181812763214
1998.2,0,0.915929198265076,0.818181812763214
1998.3,0,0.915929198265076,0.818181812763214
1998.4,0,0.915929198265076,0.818181812763214
1999.1,0,0.946188271045685,0.818181812763214
1999.2,0,0.946188271045685,0.818181812763214
1999.3,0,0.946188271045685,0.818181812763214
1999.4,0,0.946188271045685,0.818181812763214
2000.1,0,0.946188271045685,0.818181812763214
2000.2,0,0.946188271045685,0.818181812763214
2000.3,0,0.946188271045685,0.818181812763214
2000.4,0,0.946188271045685,0.818181812763214
2001.1,1,0.959276020526886,1
2001.2,1,0.959276020526886,1
2001.3,1,0.959276020526886,1
2001.4,1,0.959276020526886,1
2002.1,1,0.959276020526886,1
2002.2,1,0.959276020526886,1
2002.3,1,0.959276020526886,1
2002.4,1,0.959276020526886,1
2003.1,1,0.895196497440338,0.941176474094391
2003.2,1,0.895196497440338,0.941176474094391
2003.3,1,0.895196497440338,0.941176474094391
2003.4,1,0.895196497440338,0.941176474094391
2004.1,1,0.895196497440338,0.941176474094391
2004.2,1,0.895196497440338,0.941176474094391
2004.3,1,0.895196497440338,0.941176474094391
2004.4,1,0.895196497440338,0.941176474094391
2005.1,1,0.874458789825439,0.800000011920929
2005.2,1,0.874458789825439,0.800000011920929
2005.3,1,0.874458789825439,0.800000011920929
2005.4,1,0.874458789825439,0.800000011920929
2006.1,1,0.874458789825439,0.800000011920929
2006.2,1,0.874458789825439,0.800000011920929
2006.3,1,0.874458789825439,0.800000011920929
2006.4,1,0.874458789825439,0.800000011920929
2007.1,1,1.17676794528961,1
2007.2,1,1.17676794528961,1
2007.3,1,1.17676794528961,1
2007.4,1,1.17676794528961,1
2008.1,1,1.17676794528961,1
2008.2,1,1.17676794528961,1
2008.3,1,1.17676794528961,1
2008.4,1,1.17676794528961,1
2009.1,0,1.43820202350616,1.3902440071106
2009.2,0,1.43820202350616,1.3902440071106
2009.3,0,1.43820202350616,1.3902440071106
2009.4,0,1.43820202350616,1.3902440071106
2010.1,0,1.43820202350616,1.3902440071106
2010.2,0,1.43820202350616,1.3902440071106
2010.3,0,1.43820202350616,1.3902440071106
2010.4,0,1.43820202350616,1.3902440071106
2011.1,0,0.797520577907562,1.08510601520538
2011.2,0,0.797520577907562,1.08510601520538
2011.3,0,0.797520577907562,1.08510601520538
2011.4,0,0.797520577907562,1.08510601520538
2012.1,0,0.797520577907562,1.08510601520538
2012.2,0,0.797520577907562,1.08510601520538
2012.3,0,0.797520577907562,1.08510601520538
2012.4,0,0.797520577907562,1.08510601520538
