full_date,speech_name,raw_spoke_to,vars.link,spoke_to,org_exist,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
01-May-97,Technological change and the design of bank supervisory policies,"At the Conference on Bank Structure and Competition of the Federal Reserve Bank of Chicago, Chicago, Illinois",http://www.federalreserve.gov/boarddocs/speeches/1997/19970501.htm,Conference on Bank Structure and Competition of the Federal Reserve Bank of Chicago,, Chicago, Il,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
03-May-97,Financial reform and importance of the state charter,"At the Annual Meeting and Conference of the Conference of State Bank Supervisors, San Diego, California",http://www.federalreserve.gov/boarddocs/speeches/1997/19970503.htm,Annual Meeting and Conference of the Conference of State Bank Supervisors,, San Diego, California,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
08-May-97,Current monetary policy,"At the 1997 Haskins Partners Dinner of the Stern School of Business, New York University, New York, New York",http://www.federalreserve.gov/boarddocs/speeches/1997/19970508.htm,1997 Haskins Partners Dinner of the Stern School of Business,, New York University, New York,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
23-May-97,The role of banks in small business finance,"At the Conference on Small Business Finance, New York, New York",http://www.federalreserve.gov/boarddocs/speeches/1997/19970523.htm,Conference on Small Business Finance,, New York, New York,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10-Jun-97,The embrace of free markets,"At the Woodrow Wilson Award Dinner of the Woodrow Wilson International Center for Scholars, New York, New York",http://www.federalreserve.gov/boarddocs/speeches/1997/19970610.htm,Woodrow Wilson Award Dinner of the Woodrow Wilson International Center for Scholars,, New York, N,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
18-Jun-97,Models for neighborhood development and reinvestment,At the Annual Meeting on Neighborhood Housing Services of New York City,http://www.federalreserve.gov/boarddocs/speeches/1997/199706182.htm,Annual Meeting on Neighborhood Housing Services of New York City,,,,Laurence H. Meyer,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
18-Jun-97,The changing financial landscape and umbrella supervision,"At the Exchequer Club, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1997/19970618.htm,Exchequer Club,, Washington, D.C.,Susan M. Phillips,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
04-Sep-97,Affordable housing,"Before the National Association of Affordable Housing Lenders̥ 1997 Northeast Regional Conference, Boston, Massachusetts",http://www.federalreserve.gov/boarddocs/speeches/1997/19970904.htm,the National Association of Affordable Housing Lenders̥ 1997 Northeast Regional Conference,, Bos,,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
05-Sep-97,Rules vs. discretionary monetary policy,"At the 15th Anniversary Conference of the Center for Economic Policy Research at Stanford University, Stanford, California",http://www.federalreserve.gov/boarddocs/speeches/1997/19970905.htm,15th Anniversary Conference of the Center for Economic Policy Research at Stanford University,, S,,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
12-Sep-97,"Education, technology, and economic growth","At the Building Dedication Ceremonies at the Kenan-Flagler Business School, University of North Carolina, Chapel Hill, North Carolina",http://www.federalreserve.gov/boarddocs/speeches/1997/19970912.htm,Building Dedication Ceremonies at the Kenan-Flagler Business School,, University of North Carolin,,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
