FROM SPEECH BASE DATA,DateField,tocheck notes,ORIG,speech_name,vars.link,is_Fed,multiple_orgs_spoken_to,multiple_org_names_in_BX,BX_spelling,org_spoken_at,Match SubTiesToCode,date_of_speech,year_of_speech,HFSC_donate_chair,HFSC_rankmem,chair_hfsc_name,chair_hfsc_total_raised,chair_hfsc_contribution_from_org,chair_rank_of_contribution,rkmem_hfsc_name,rnkmem_hfsc_total_raised,rnkmem_hfsc_contribution_from_org,rnkmem_rank_of_contribution,name_of_fed_speaker,years_experience_in_tied_org,TieDistanceYrs,org_tie_role,years_to_tie,,speech_name,vars.link,raw_spoke_to,spoke_to,finallist,Notes,place_1,place_2,name,position_cat
21,1/1/1997,,Central banking and global finance,Central banking and global finance,http://www.federalreserve.gov/boarddocs/speeches/1997/19970114.htm,,,,,Catholic University Leuven,,14-Jan-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Alan Greenspan,none,,,,,Central banking and global finance,http://www.federalreserve.gov/boarddocs/speeches/1997/19970114.htm,"At the Catholic University Leuven, Leuven, Belgium",Catholic University Leuven,Catholic University Leuven,, Leuven, Belgium,Alan Greenspan,3
22,1/1/1997,,The economic outlook and challenges for monetary policy,The economic outlook and challenges for monetary policy,http://www.federalreserve.gov/boarddocs/speeches/1997/19970116.htm,,,,,Charlotte Economics Club,,16-Jan-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Laurence H. Meyer,none,,,,,The economic outlook and challenges for monetary policy,http://www.federalreserve.gov/boarddocs/speeches/1997/19970116.htm,"At the Charlotte Economics Club, Charlotte, North Carolina",Charlotte Economics Club,Charlotte Economics Club,, Charlotte, North Carolina,Laurence H. Meyer,1
23,1/1/1997,,Financial modernization: Rationalizing the structure of the financial services industry,Financial modernization: Rationalizing the structure of the financial services industry,http://www.federalreserve.gov/boarddocs/speeches/1997/19970124.htm,,,,,Southwestern Graduate School of Banking,,24-Jan-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Laurence H. Meyer,none,,,,,Financial modernization: Rationalizing the structure of the financial services industry,http://www.federalreserve.gov/boarddocs/speeches/1997/19970124.htm,"At the 99th Assembly for Bank Directors, Southwestern Graduate School of Banking, Westin Regina Resort, Puerto Vallarta, Mexico",99th Assembly for Bank Directors,Southwestern Graduate School of Banking,, Southwestern Graduate School of Banking, Westin Regina Resort,Laurence H. Meyer,1
24,1/1/1997,,International competition: Should we harmonize our national regulatory systems?,International competition: Should we harmonize our national regulatory systems?,http://www.federalreserve.gov/boarddocs/speeches/1997/19970128.htm,,,,,International Monetary Fund,,28-Jan-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Susan M. Phillips,none,,,,,International competition: Should we harmonize our national regulatory systems?,http://www.federalreserve.gov/boarddocs/speeches/1997/19970128.htm,"At the Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,Sponsored by the International Monetary Fund, Washington, D.C.",Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,International Monetary Fund,,Sponsored,,Susan M. Phillips,1
25,1/1/1997,,Are banks still special?,Are banks still special?,http://www.federalreserve.gov/boarddocs/speeches/1997/19970129.htm,,,,,International Monetary Fund,,29-Jan-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Edward W. Kelley,Not Found in Fed Boardex,,,,,Are banks still special?,http://www.federalreserve.gov/boarddocs/speeches/1997/19970129.htm,"At the Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets, Sponsored by the International Monetary Fund, Washington, D.C.",Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets,International Monetary Fund,, Sponsored,,Edward W. Kelley,1
26,2/1/1997,,Risk management for banks and banking regulators in the 21st century,Risk management for banks and banking regulators in the 21st century,http://www.federalreserve.gov/boarddocs/speeches/1997/19970214.htm,,,,,Atlanta Society of Financial Analysis,,14-Feb-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Susan M. Phillips,none,,,,,Risk management for banks and banking regulators in the 21st century,http://www.federalreserve.gov/boarddocs/speeches/1997/19970214.htm,"At the Atlanta Society of Financial Analysis, Atlanta, Georgia",Atlanta Society of Financial Analysis,Atlanta Society of Financial Analysis,, Atlanta, Georgia,Susan M. Phillips,1
27,2/1/1997,,Government regulation and derivative contracts,Government regulation and derivative contracts,http://www.federalreserve.gov/boarddocs/speeches/1997/19970221.htm,,,,,Federal Reserve Bank of Atlanta,,21-Feb-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Alan Greenspan,Fed-Fed,,,,,Government regulation and derivative contracts,http://www.federalreserve.gov/boarddocs/speeches/1997/19970221.htm,"At the Financial Markets Conference of the Federal Reserve Bank of Atlanta, Coral Gables, Florida",Financial Markets Conference of the Federal Reserve Bank of Atlanta,Federal Reserve Bank of Atlanta,, Coral Gables, Florida,Alan Greenspan,3
28,3/1/1997,,Recent developments in supervision and regulation and how they affect the debate on financial modernization,Recent developments in supervision and regulation and how they affect the debate on financial modernization,http://www.federalreserve.gov/boarddocs/speeches/1997/19970303.htm,,,,,Institute of International Bankers,,3-Mar-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Susan M. Phillips,none,,,,,Recent developments in supervision and regulation and how they affect the debate on financial modernization,http://www.federalreserve.gov/boarddocs/speeches/1997/19970303.htm,At the Annual Washington Conference of the Institute of International Bankers,Annual Washington Conference of the Institute of International Bankers,Institute of International Bankers,,,,Susan M. Phillips,1
29,3/1/1997,,Privacy in the information age,Privacy in the information age,http://www.federalreserve.gov/boarddocs/speeches/1997/19970307.htm,,,,,Unkown,,7-Mar-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Alan Greenspan,,,,,,Privacy in the information age,http://www.federalreserve.gov/boarddocs/speeches/1997/19970307.htm,"At the Conference on Privacy in the Information Age, Salt Lake City, Utah",Conference on Privacy in the Information Age,,, Salt Lake City, Utah,Alan Greenspan,3
30,3/1/1997,,Sustaining CRA's success,Sustaining CRA's success,http://www.federalreserve.gov/boarddocs/speeches/1997/19970313.htm,,,,,National Community Reinvestment Coalition,,13-Mar-97,1997,0.00%,0.00%,"Leach, James A.S.","$633,324 ",0,0,"McCollum, Bill","$941,123 ",0,0,Alice M. Rivlin,none,,,,,Sustaining CRA's success,http://www.federalreserve.gov/boarddocs/speeches/1997/19970313.htm,"At the Annual Meeting of the National Community Reinvestment Coalition, Washington, D.C.",Annual Meeting of the National Community Reinvestment Coalition,National Community Reinvestment Coalition,, Washington, D.C.,Alice M. Rivlin,2
