multiple_orgs_spoken_to,multiple_org_names_in_BX,BX_spelling,org_spoken_at,Match SubTiesToCode,date_of_speech,year_of_speech,chair_hfsc_name,chair_hfsc_total_raised,chair_hfsc_contribution_from_org,chair_rank_of_contribution,rkmem_hfsc_name,rnkmem_hfsc_total_raised,rnkmem_hfsc_contribution_from_org,rnkmem_rank_of_contribution,name_of_fed_speaker,years_experience_in_tied_org,TieDistanceYrs,org_tie_role,years_to_tie,speech_name,vars.link,raw_spoke_to,spoke_to,finallist,Notes,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
,,,Bank Administration Institute,,28 Sep 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alice M. Rivlin,none,,,,The Federal Reserve's roles in the payments system,http://www.federalreserve.gov/boarddocs/speeches/1998/19980928.htm,At the Bank Administration Institute's Symposium on Payments System Strategy,Bank Administration Institute's Symposium on Payments System Strategy,Bank Administration Institute,,,,Alice M. Rivlin,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,,Bank Administration Institute,,29 Sep 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Roger W. Ferguson,none,,,,Electronic banking,http://www.federalreserve.gov/boarddocs/speeches/1998/19980929.htm,"At the Bank Administration Institute's Symposium on Payments System Strategy, Washington, D.C.",Bank Administration Institute's Symposium on Payments System Strategy,Bank Administration Institute,, Washington, D.C.,Roger W. Ferguson,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,National Association for Business Economics,National Association for Business Economics,,5 Oct 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,The economic outlook and the challenges facing monetary policy,http://www.federalreserve.gov/boarddocs/speeches/1998/19981005.htm,"At the National Association for Business Economics 40th Anniversary Annual Meeting, Washington, D.C.",National Association for Business Economics 40th Anniversary Annual Meeting,National Association for Business Economics,, Washington, D.C.,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,Florida Black Business Investment Board,,14 Oct 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Roger W. Ferguson,none,,,,The role for small businesses as viewed by a macroeconomic policymaker,http://www.federalreserve.gov/boarddocs/speeches/1998/19981014.htm,"At the Florida Black Business Investment Board, Tallahassee, Florida",Florida Black Business Investment Board,Florida Black Business Investment Board,, Tallahassee, Florida,Roger W. Ferguson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,Joint Year 2000 Council,,16 Oct 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Roger W. Ferguson,none,,,,The challenge of preparing for the Year 2000,http://www.federalreserve.gov/boarddocs/speeches/1998/19981016.htm,"At the Global Year 2000 Summit, London, England",Global Year 2000 Summit,Joint Year 2000 Council,, London, England,Roger W. Ferguson,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
,,,Cato Institute,,22 Oct 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,Increasing global financial integrity,http://www.federalreserve.gov/boarddocs/speeches/1998/199810222.htm,"At the 16th Annual Monetary Conference, Money in the New Millenium: The Global Financial Architecture, Cato Institute, Washington, D.C.",16th Annual Monetary Conference,Cato Institute,, Money in the New Millenium: The Global Financial Architecture,,Laurence H. Meyer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,,State University of New York-Brockport and Buffalo State College,1,22 Oct 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alice M. Rivlin,none,,,,The world economy,http://www.federalreserve.gov/boarddocs/speeches/1998/199810223.htm,"At the State University of New York-Brockport and Buffalo State College, Buffalo",State University of New York-Brockport and Buffalo State College,State University of New York-Brockport and Buffalo State College,, Buffalo,,Alice M. Rivlin,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,Women in Housing and Finance,,22 Oct 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Roger W. Ferguson,none,,,,Three themes in search of an audience,http://www.federalreserve.gov/boarddocs/speeches/1998/19981022.htm,"At a meeting of Women in Housing and Finance, Washington, D.C.",eeting of Women in Housing and Finance, Women in Housing and Finance,, Washington, D.C.,Roger W. Ferguson,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
,,,"College of Management,, University of Massachusetts",,27 Oct 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Roger W. Ferguson,none,,,,The future of the financial services sector and related public policy issues,http://www.federalreserve.gov/boarddocs/speeches/1998/19981027.htm,"At the College of Management, University of Massachusetts, Boston, Massachusetts",College of Management,"College of Management,, University of Massachusetts",, University of Massachusetts, Boston,Roger W. Ferguson,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,Houston Baptist University,,29 Oct 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Edward W. Kelley,Not Found in Fed Boardex,,,,Countdown to Y2K: An economic assessment ,http://www.federalreserve.gov/boarddocs/speeches/1998/19981029.htm,"At the Annual Economic Symposium of Houston Baptist University, the information in this speech was updated in Governor Kelley's March 25, 1999 remarks at Vanderbilt University",Annual Economic Symposium of Houston Baptist University, Houston Baptist University,, the information in this speech was upda,,Edward W. Kelley,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,Securities Industry and Financial Markets Association (SIFMA),Securities Industry Association,,5 Nov 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Alan Greenspan,none,,,,The structure of the international financial system,http://www.federalreserve.gov/boarddocs/speeches/1998/19981105.htm,"At the Annual Meeting of the Securities Industry Association, Boca Raton, Florida",Annual Meeting of the Securities Industry Association,Securities Industry Association,, Boca Raton, Florida,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,Widener University,,6 Nov 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Edward M. Gramlich,Not Found in Fed Boardex,,,,Examining community reinvestment,http://www.federalreserve.gov/boarddocs/speeches/1998/19981106.htm,"At Widener University, Chester, Pennsylvania",ener University,Widener University,, Chester, Pennsylvania,Edward M. Gramlich,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,the Financial Institutions Practice Group,,12 Nov 1998,1998,"Leach, James A.S.","$633,324",NONE,NONE,"McCollum, Bill","$941,123",NONE,NONE,Laurence H. Meyer,none,,,,Modernizing financial services regulation,http://www.federalreserve.gov/boarddocs/speeches/1998/19981112.htm,"Before the Financial Institutions Practice Group, The Federalist Society, Washington, D.C.",the Financial Institutions Practice Group,the Financial Institutions Practice Group,, The Federalist Society, Washington,Laurence H. Meyer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,,National Economic Association Forum,,3 Jan 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Roger W. Ferguson,none,,,,Thoughts on the start of a new year,http://www.federalreserve.gov/boarddocs/speeches/1999/19990103.htm,"At the National Economic Association Forum, New York, New York",National Economic Association Forum,National Economic Association Forum,, New York, New York,Roger W. Ferguson,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,North American Economics and Finance Association,,4 Jan 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Laurence H. Meyer,none,,,,The transformation of the U.S. banking system,http://www.federalreserve.gov/boarddocs/speeches/1999/19990104.htm,"At the North American Economics and Finance Association Meetings, New York, New York",North American Economics and Finance Association Meetings,North American Economics and Finance Association,, New York, New York,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,the Conference Board,,11 Jan 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Laurence H. Meyer,none,,,,The transformation of the U.S. banking system,http://www.federalreserve.gov/boarddocs/speeches/1999/19990111.htm,"Before the Conference Board's 1999 Financial Services Outlook Conference, New York, New York",the Conference Board's 1999 Financial Services Outlook Conference,the Conference Board,, New York, New York,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,the East Hanover Area Chamber of Commerce,,15 Jan 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Roger W. Ferguson,none,,,,The making of monetary policy,http://www.federalreserve.gov/boarddocs/speeches/1999/19990115.htm,"Prepared for delivery at the East Hanover Area Chamber of Commerce, East Hanover, New Jersey",ed for delivery at the East Hanover Area Chamber of Commerce,the East Hanover Area Chamber of Commerce,, East Hanover, New Jersey,Roger W. Ferguson,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,Bank Administration Institute,,21 Jan 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Roger W. Ferguson,none,,,,The international millennium challenge ,http://www.federalreserve.gov/boarddocs/speeches/1999/19990121.htm,"At the Bank Administration Institute, Orlando, Florida",Bank Administration Institute,Bank Administration Institute,, Orlando, Florida,Roger W. Ferguson,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,,Florida International Bankers Association,,11 Feb 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Roger W. Ferguson,none,,,,Latin America: Lessons learned from the last twenty years,http://www.federalreserve.gov/boarddocs/speeches/1999/19990211.htm,"At the Florida International Bankers Association, Inc., Miami, Florida",Florida International Bankers Association,Florida International Bankers Association,, Inc., Miami,Roger W. Ferguson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,American Council on Education,,16 Feb 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alan Greenspan,none,,,,The interaction of education and economic change,http://www.federalreserve.gov/boarddocs/speeches/1999/19990216.htm,"At the 81st Annual Meeting of the American Council on Education, Washington, D.C.",81st Annual Meeting of the American Council on Education,American Council on Education,, Washington, D.C.,Alan Greenspan,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,,the Foreign Policy Association,,24 Feb 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alice M. Rivlin,none,,,,Dilemmas of an economic superpower,http://www.federalreserve.gov/boarddocs/speeches/1999/19990224.htm,"At the Financial Services Dinner of the Foreign Policy Association, New York, New York",Financial Services Dinner of the Foreign Policy Association,the Foreign Policy Association,, New York, New York,Alice M. Rivlin,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,,Money Marketeers of New York University,,25 Feb 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Roger W. Ferguson,none,,,,Evolution of financial institutions and markets: Private and policy implications,http://www.federalreserve.gov/boarddocs/speeches/1999/199902252.htm,"At the Money Marketeers of New York University, New York, New York",Money Marketeers of New York University,Money Marketeers of New York University,, New York, New York,Roger W. Ferguson,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,Society of Business Economists,,25 Feb 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Laurence H. Meyer,none,,,,The global economic outlook and monetary policy challenges,http://www.federalreserve.gov/boarddocs/speeches/1999/19990225.htm,"At the Annual Dinner of the Society of Business Economists, London, England",Annual Dinner of the Society of Business Economists,Society of Business Economists,, London, England,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,Institute of International Bankers,,1 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alice M. Rivlin,none,,,,Learning from financial market turbulence ,http://www.federalreserve.gov/boarddocs/speeches/1999/19990301.htm,"At the Institute of International Bankers, Washington, D.C.",Institute of International Bankers,Institute of International Bankers,, Washington, D.C.,Alice M. Rivlin,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,National Association for Business Economics,National Association for Business Economics,,3 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Roger W. Ferguson,none,,,,Global financial integration,http://www.federalreserve.gov/boarddocs/speeches/1999/19990303.htm,"At the Annual Policy Seminar of the National Association for Business Economics, Washington, D.C.",Annual Policy Seminar of the National Association for Business Economics,National Association for Business Economics,, Washington, D.C.,Roger W. Ferguson,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,Federal Reserve Board,,8 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Edward M. Gramlich,Fed-Fed,,,,Small business access to capital and credit,http://www.federalreserve.gov/boarddocs/speeches/1999/19990308.htm,"At the Federal Reserve System Research Conference on Business Access to Capital and Credit, Arlington, Virginia",Federal Reserve System Research Conference on Business Access to Capital and Credit,Federal Reserve,, Arlington,,Edward M. Gramlich,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,Mortgage Bankers Association,,8 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alan Greenspan,none,,,,Mortgage finance,http://www.federalreserve.gov/boarddocs/speeches/1999/199903082.htm,"At the Mortgage Bankers Association, Washington, D.C.",Mortgage Bankers Association,Mortgage Bankers Association,, Washington, D.C.,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,Federal Reserve Board,,9 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alan Greenspan,Fed-Fed,,,,Changes in small business finance,http://www.federalreserve.gov/boarddocs/speeches/1999/19990309.htm,"At the Federal Reserve System Research Conference on Business Access to Capital and Credit, Arlington, Virginia",Federal Reserve System Research Conference on Business Access to Capital and Credit,Federal Reserve,, Arlington,,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,the Media Studies Center,,10 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Edward W. Kelley,Not Found in Fed Boardex,,,,Y2K and public confidence in the banking system,http://www.federalreserve.gov/boarddocs/speeches/1999/19990310.htm,"Before the Media Studies Center, New York, New York",the Media Studies Center,the Media Studies Center,, New York, New York,Edward W. Kelley,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
,,,Washington University School of Law,,12 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Laurence H. Meyer,none,,,,Financial modernization: The issues,http://www.federalreserve.gov/boarddocs/speeches/1999/19990312.htm,"At the 1999 F. Hodge O'Neal Corporate & Securities Law Symposium, Washington University School of Law, St. Louis, Missouri",1999 F. Hodge O'Neal Corporate & Securities Law Symposium,Washington University School of Law,, Washington University School of Law,,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,Independent Bankers Association of America,,16 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alan Greenspan,none,,,,The farm economy,http://www.federalreserve.gov/boarddocs/speeches/1999/19990316.htm,"At the Annual Convention of the Independent Bankers Association of America, San Francisco, California",Annual Convention of the Independent Bankers Association of America,Independent Bankers Association of America,, San Francisco, California,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,National Black Business Council,,16 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Roger W. Ferguson,none,,,,Small business access to capital: Current status and initiatives ,http://www.federalreserve.gov/boarddocs/speeches/1999/199903162.htm,"At the National Black Business Council, Washington, D.C.",National Black Business Council,National Black Business Council,, Washington, D.C.,Roger W. Ferguson,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,,the Futures Industry Association,,19 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alan Greenspan,none,,,,Financial derivatives,http://www.federalreserve.gov/boarddocs/speeches/1999/19990319.htm,"Before the Futures Industry Association, Boca Raton, Florida",the Futures Industry Association,the Futures Industry Association,, Boca Raton, Florida,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,"Owens Graduate School of Management, Vanderbilt University ",,25 Mar 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Edward W. Kelley,Not Found in Fed Boardex,,,,Thinking about Y2K,http://www.federalreserve.gov/boarddocs/speeches/1999/19990325.htm,"Owens Distinguished Lecture Series, Owens Graduate School of Management, Vanderbilt University",Distinguished Lecture Series,"Owens Graduate School of Management, Vanderbilt University ",, Owens Graduate School of Management, Vanderbilt University,Edward W. Kelley,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,the Business Roundtable,,6 Apr 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alice M. Rivlin,none,,,,Social Security,http://www.federalreserve.gov/boarddocs/speeches/1999/19990406.htm,"Before the Business Roundtable, Social Security Symposium, Washington, D.C.",the Business Roundtable,the Business Roundtable,, Social Security Symposium, Washington,Alice M. Rivlin,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,,the National Automated Clearing House Association,,13 Apr 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Roger W. Ferguson,none,,,,The payments system and Year 2000,http://www.federalreserve.gov/boarddocs/speeches/1999/19990413.htm,"Before the National Automated Clearing House Association, Atlanta, Georgia",the National Automated Clearing House Association,the National Automated Clearing House Association,, Atlanta, Georgia,Roger W. Ferguson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,the World Economic Forum,,14 Apr 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Laurence H. Meyer,none,,,,The global economic outlook and monetary policy challenges,http://www.federalreserve.gov/boarddocs/speeches/1999/19990414.htm,"Before the World Economic Forum, U.S.A. Regional Meeting, U.S. Chamber of Commerce's National Chamber Foundation, Washington, D.C.",the World Economic Forum,the World Economic Forum,, U.S.A. Regional Meeting, U.S. Chamber of Commerce's National Chamber F,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,the Dallas Ambassadors Forum,,16 Apr 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alan Greenspan,none,,,,Technology and trade,http://www.federalreserve.gov/boarddocs/speeches/1999/19990416.htm,"Before the Dallas Ambassadors Forum, Dallas, Texas",the Dallas Ambassadors Forum,the Dallas Ambassadors Forum,, Dallas, Texas,Alan Greenspan,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,1,Bard College,"The Jerome Levy Economics Institute, Bard College",1,22 Apr 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Laurence H. Meyer,none,,,,"Structure, instability, and the world economy",http://www.federalreserve.gov/boarddocs/speeches/1999/19990422.htm,"At the Ninth Annual Hyman P. Minsky Conference on Financial Structure, The Jerome Levy Economics Institute, Bard College, Annandale-on-the-Hudson, New York",Ninth Annual Hyman P. Minsky Conference on Financial Structure,"The Jerome Levy Economics Institute, Bard College",, The Jerome Levy Economics Instit,,Laurence H. Meyer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,,Wharton Schoool of Business,,22 Apr 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Edward M. Gramlich,Not Found in Fed Boardex,,,,A stabilization policy strategy,http://www.federalreserve.gov/boarddocs/speeches/1999/199904222.htm,"Before the Wharton Public Policy Forum Series, Philadelphia, Pennsylvania, Governor Gramlich presented an identical speech at the Jerome Levy Economics Institute, Bard College, Annandale-on-the-Hudson, New York, April 23, 1999",the Wharton Public Policy Forum Series,Wharton Schoool of Business,, Philadelphia, Pennsylvania,Edward M. Gramlich,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9
,,,European Institute,,26 Apr 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Laurence H. Meyer,none,,,,The euro in the international financial system,http://www.federalreserve.gov/boarddocs/speeches/1999/19990426.htm,"At the European Institute's Conference ""Challenges to the European Millennium,"" Four Seasons Hotel, Washington, D.C.","European Institute's Conference ""Challenges to the European Millennium",European Institute,," Four Seasons Hotel, Was",,Laurence H. Meyer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
,,World Bank,World Bank,1,29 Apr 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alan Greenspan,none,,,,Currency reserves and debt,http://www.federalreserve.gov/boarddocs/speeches/1999/19990429.htm,"Before the World Bank Conference on Recent Trends in Reserves Management, Washington, D.C.",the World Bank Conference on Recent Trends in Reserves Management,World Bank,, Washington, D.C.,Alan Greenspan,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
,,Federal Reserve Bank of Chicago,Federal Reserve Bank of Chicago,1,6 May 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alan Greenspan,Fed-Fed,,,,The American economy in a world context,http://www.federalreserve.gov/boarddocs/speeches/1999/19990506.htm,"At the 35th Annual Conference on Bank Structure and Competition of the Federal Reserve Bank of Chicago, Chicago, Illinois",35th Annual Conference on Bank Structure and Competition of the Federal Reserve Bank of Chicago,Federal Reserve Bank of Chicago,,,,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,"""Minnesota Meeting"" group",,13 May 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alice M. Rivlin,none,,,,On sustaining U.S. economic growth,http://www.federalreserve.gov/boarddocs/speeches/1999/19990513.htm,"Before the ""Minnesota Meeting"" group, Minneapolis, Minnesota","the ""Minnesota Meeting"" group"," ""Minnesota Meeting"" group",, Minneapolis, Minnesota,Alice M. Rivlin,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
,,,"Federal Reserve Bank of Minneapolis, ",,13 May 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alice M. Rivlin,Fed-Fed,,,,On economic literacy,http://www.federalreserve.gov/boarddocs/speeches/1999/199905132.htm,"At the Economic Literacy Conference, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota",Economic Literacy Conference," Federal Reserve Bank of Minneapolis, ",, Federal Reserve Bank of Minneapolis, Minneapolis,Alice M. Rivlin,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,The International Economic Forum of the Americas,,1 Jun 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alice M. Rivlin,none,,,,Dilemmas facing United States policymakers,http://www.federalreserve.gov/boarddocs/speeches/1999/19990601.htm,"At La ConfÂ_rence de MontrÂ_al, Montreal, Canada",ConfÂ_rence de MontrÂ_al,The International Economic Forum of the Americas,, Montreal, Canada,Alice M. Rivlin,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,,the Alliance for the Commonwealth,,2 Jun 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alan Greenspan,none,,,,Trade and technology,http://www.federalreserve.gov/boarddocs/speeches/1999/19990602.htm,"Before the Alliance for the Commonwealth, Conference on International Business, Boston, Massachusetts",the Alliance for the Commonwealth,the Alliance for the Commonwealth,, Conference on International Business, Boston,Alan Greenspan,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,,Conference of State Bank Supervisors,,3 Jun 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Laurence H. Meyer,none,,,,Moving forward into the 21st century,http://www.federalreserve.gov/boarddocs/speeches/1999/19990603.htm,"At the Conference of State Bank Supervisors, Williamsburg, Virginia",Conference of State Bank Supervisors,Conference of State Bank Supervisors,, Williamsburg, Virginia,Laurence H. Meyer,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,Harvard University,Harvard University,1,10 Jun 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Alan Greenspan,none,,,,Commencement address,http://www.federalreserve.gov/boarddocs/speeches/1999/199906102.htm,"Harvard University, Cambridge, Massachusetts",Harvard University,Harvard University,, Cambridge, Massachusetts,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
,,,the East Hanover (N.J.) Area Chamber of Commerce,,10 Jun 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Roger W. Ferguson,none,,,,The making of monetary policy,http://www.federalreserve.gov/boarddocs/speeches/1999/19990610.htm,"Before the East Hanover (N.J.) Area Chamber of Commerce, East Hanover, New Jersey",the East Hanover (N.J.) Area Chamber of Commerce,the East Hanover (N.J.) Area Chamber of Commerce,, East Hanover, New Jersey,Roger W. Ferguson,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
1,,Ernst & Young LLP,Ernst & Young and AEI-Brookings Joint Center on Regulatory Studies,1,14 Jun 1999,1999,"Leach, James A.S.","$389,098",NONE,NONE,"McCollum, Bill","$7,936,639",NONE,NONE,Laurence H. Meyer,none,,,,Market discipline as a complement to bank supervision and regulation,http://www.federalreserve.gov/boarddocs/speeches/1999/19990614.htm,"Before the Conference on Reforming Bank Capital Standards, Council on Foreign Relations, New York, New York",the Conference on Reforming Bank Capital Standards,Ernst & Young and AEI-Brookings Joint Center on Regulatory Studies,, Council on Foreign Relations, New York,Laurence H. Meyer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
