initialorder,Date,speechtitle,TestimonyHyperlink,name,position_cat1,position_cat2,committefull,CleanFullCommitteeName1,CleanFullCommitteeName2,SubCommittee,duplicatespeech,legislature,full_date,HearingNumber,TranscriptHyperlink,FedLetterCorrespondence,attendance,laughter,SecondTestimony,SpecialInterest,
348,4-Nov-1997,Y2K readiness and the banking industry,http://www.federalreserve.gov/boarddocs/testimony/1997/19971104.htm,Edward W. Kelley Jr.,Governor,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,04/11/1997,,,,,,,,
358,29-Jul-1997,The Government Performance and Results Act,http://www.federalreserve.gov/boarddocs/testimony/1997/19970729.htm,Alice M. Rivlin,Vice Chair,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,29/07/1997,,,,,,,,
359,23-Jul-1997,Appropriate monetary policy and the strong economy,http://www.federalreserve.gov/boarddocs/testimony/1997/199707232.htm,Alice M. Rivlin,Vice Chair,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,23/07/1997,,,,,,,,
360,23-Jul-1997,Conduct of monetary policy,http://www.federalreserve.gov/boarddocs/testimony/1997/19970723.htm,Laurence H. Meyer,Governor,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,23/07/1997,,,,,,,,
364,22-May-1997,"H.R. 10, the Financial Services Competitiveness Act of 1997",http://www.federalreserve.gov/boarddocs/testimony/1997/19970522.htm,Alan Greenspan,Chairman,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,22/05/1997,,,,,,,,
374,18-Sep-1996,Implications of trading losses by Sumitomo Corp.,http://www.federalreserve.gov/boarddocs/testimony/1996/19960918.htm,Susan M. Phillips,Governor,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,18/09/1996,,,,,,,,
375,12-Sep-1996,Trends in consumer lending,http://www.federalreserve.gov/boarddocs/testimony/1996/19960912.htm,Lawrence B. Lindsey,Governor,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,12/09/1996,,,,,,,,
105,24-Feb-2009,Semiannual Monetary Policy Report to the Congress,http://www.federalreserve.gov/newsevents/testimony/bernanke20090224a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,"Chairman Bernanke presented identical remarks before the Committee on Financial Services, U.S. House of Representatives, on February 25, 2009",Senate,24/02/2009,"S. Hrg. 111-53
",http://www.gpo.gov/fdsys/pkg/CHRG-111shrg50814/html/CHRG-111shrg50814.htm,,,1,,,
337,10-Mar-1998,"S. 1405, the Financial Regulatory Relief and Economic Efficiency Act of 1997",http://www.federalreserve.gov/boarddocs/testimony/1998/19980310.htm,Laurence H. Meyer,Governor,,"Banking, Housing and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,10/03/1998,,,,,,,,
340,3-Mar-1998,The payment of interest on demand deposits and on required reserve balances,http://www.federalreserve.gov/boarddocs/testimony/1998/19980303.htm,Laurence H. Meyer,Governor,,"Banking, Housing and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,03/03/1998,,,,,,,,
169,23-May-2006,Financial literacy,http://www.federalreserve.gov/newsevents/testimony/bernanke20060523a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs of the United States Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,23/05/2006,"S. Hrg. 109-1050
",http://www.gpo.gov/fdsys/pkg/CHRG-109shrg48320/html/CHRG-109shrg48320.htm,,,1,,,
13,22-Mar-2012,Regulatory Reform,http://www.federalreserve.gov/newsevents/testimony/tarullo20120322a.htm,Daniel K. Tarullo,Governor,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,22/03/2012,"S. Hrg. 112-594
",http://www.gpo.gov/fdsys/pkg/CHRG-112shrg76591/html/CHRG-112shrg76591.htm,,,3,,,
17,28-Feb-2012,The Housing Market,http://www.federalreserve.gov/newsevents/testimony/duke20120228a.htm,Elizabeth A. Duke,Governor,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,28/02/2012,"S. Hrg. 112-468
",http://www.gpo.gov/fdsys/pkg/CHRG-112shrg74982/html/CHRG-112shrg74982.htm,,,6,,,
18,16-Feb-2012,The European Financial Situation,http://www.federalreserve.gov/newsevents/testimony/kamin20120216a.htm,Steven B. Kamin,Director,Division of International Finance,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,16/02/2012,"S. Hrg. 112-479
",http://www.gpo.gov/fdsys/pkg/CHRG-112shrg75044/html/CHRG-112shrg75044.htm,,,0,,,
24,6-Dec-2011,Dodd-Frank Act Implementation,http://www.federalreserve.gov/newsevents/testimony/tarullo20111206a.htm,Daniel K. Tarullo,Governor,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,06/12/2011,S. Hrg. 112-409,http://www.gpo.gov/fdsys/pkg/CHRG-112shrg74412/html/CHRG-112shrg74412.htm,,,0, ,,
28,21-Jul-2011,Dodd-Frank Act,http://www.federalreserve.gov/newsevents/testimony/bernanke20110721a.htm,Ben S. Bernanke,Chairman,,"Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Banking, Housing, and Urban Affairs",,,,Senate,21/07/2011,"S. Hrg. 112-241
",http://www.gpo.gov/fdsys/pkg/CHRG-112shrg72700/html/CHRG-112shrg72700.htm,,,0,,,
