docId,filename,top1,top1.prop,top2,top2.prop,top3,top3.prop,top4,top4.prop,top5,top5.prop
190,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.236.txt,4,0.397905767,2,0.287958115,0,0.188481674,1,0.074171029,3,0.051483419
191,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.237.txt,1,0.610119045,4,0.15476191,0,0.099702381,2,0.086309522,,
192,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.238.txt,2,0.413612574,0,0.251308888,4,0.179755673,1,0.087260038,3,0.068062827
193,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.239.txt,0,0.605518281,3,0.243847877,2,0.067859806,,,,
194,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.24.txt,4,0.721554101,2,0.11008326,0,0.088806659,1,0.051803887,,
195,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.240.txt,3,0.715686262,0,0.259803921,,,,,,
196,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.241.txt,1,0.745709836,4,0.109204367,2,0.05928237,0,0.056942277,,
197,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.242.txt,4,0.5407359,1,0.238501966,0,0.170827851,,,,
198,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.243.txt,3,0.647713721,4,0.158051684,2,0.084691852,0,0.056461234,1,0.053081512
199,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.244.txt,0,0.322298557,1,0.294815749,2,0.204871953,4,0.111180514,3,0.066833228
200,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.245.txt,0,0.646929801,2,0.145833328,1,0.08991228,3,0.076754384,,
