full_date,name,SpeechID,Financial.Markets,Macroeconomics,Monetary.Policy,International.Economy,Local.Housing.Dev,Banking.Regulation,,top,max,countzeros,randrange,intruder,206,SpeechID,full_date,name,,,,,
5-Oct-98,Laurence H. Meyer,111,0,0.511578023,0.359348208,0.054030877,0,0,,,0.511578023,3,1,,,111,5-Oct-98,Laurence H. Meyer,,,,,
14-Oct-98,Roger W. Ferguson,112,0,0.22205323,0,0.109505706,0.459315598,0.091254756,,,0.459315598,2,1,,,112,14-Oct-98,Roger W. Ferguson,,,,,
16-Oct-98,Roger W. Ferguson,113,0.185220733,0.112284072,0,0.178502873,0,0.415547013,,,0.415547013,2,2,,,113,16-Oct-98,Roger W. Ferguson,,,,,
22-Oct-98,Roger W. Ferguson,114,0.194622278,0.115236878,0,0.184378996,0,0.36107555,,,0.36107555,2,2,,,114,22-Oct-98,Roger W. Ferguson,,,,,
22-Oct-98,Laurence H. Meyer,115,0.177472532,0,0,0,0,0.679120898,,bankingreg,0.679120898,4,1,macroeconomics,,115,22-Oct-98,Laurence H. Meyer,,,,,
22-Oct-98,Alice M. Rivlin,116,0.215147451,0.262734592,0,0.388739944,0,0,,,0.388739944,3,2,,,116,22-Oct-98,Alice M. Rivlin,,,,,
27-Oct-98,Roger W. Ferguson,117,0.160146698,0,0,0.131418094,0.12041565,0.490831286,,,0.490831286,2,1,,,117,27-Oct-98,Roger W. Ferguson,,,,,
29-Oct-98,Edward W. Kelley,118,0.1448787,0.200808629,0,0.294474393,0,0.229784369,,,0.294474393,2,1,,,118,29-Oct-98,Edward W. Kelley,,,,,
5-Nov-98,Alan Greenspan,119,0.345123261,0.160235792,0,0.32797429,0,0,,,0.345123261,3,3,,,119,5-Nov-98,Alan Greenspan,,,,,
6-Nov-98,Edward M. Gramlich,120,0,0,0,0.072254337,0.674566448,0.105780348,,,0.674566448,3,3,,,120,6-Nov-98,Edward M. Gramlich,,,,,
12-Nov-98,Laurence H. Meyer,121,0.091083415,0,0,0,0.084372006,0.744007647,,,0.744007647,3,1,,,121,12-Nov-98,Laurence H. Meyer,,,,,
3-Jan-99,Roger W. Ferguson,122,0.116743475,0.394009203,0.225038409,0.140552998,0,0,,,0.394009203,2,2,,,122,3-Jan-99,Roger W. Ferguson,,,,,
4-Jan-99,Laurence H. Meyer,123,0.166085944,0,0,0.131242737,0.091753773,0.511033654,,,0.511033654,2,2,,,123,4-Jan-99,Laurence H. Meyer,,,,,
11-Jan-99,Laurence H. Meyer,124,0.186940491,0,0,0.12743549,0.075829387,0.531858861,,,0.531858861,2,2,,,124,11-Jan-99,Laurence H. Meyer,,,,,
15-Jan-99,Roger W. Ferguson,125,0.138686135,0.248175189,0.43503651,0.086131386,0,0,,,0.43503651,2,2,,,125,15-Jan-99,Roger W. Ferguson,,,,,
21-Jan-99,Roger W. Ferguson,126,0.200547576,0,0,0,0.150581792,0.428473651,,,0.428473651,3,3,,,126,21-Jan-99,Roger W. Ferguson,,,,,
11-Feb-99,Roger W. Ferguson,127,0.215868473,0.202287346,0,0.390278757,0,0.105789848,,,0.390278757,2,2,,,127,11-Feb-99,Roger W. Ferguson,,,,,
16-Feb-99,Alan Greenspan,128,0,0,0,0.785880506,0,0,,,0.785880506,5,4,,,128,16-Feb-99,Alan Greenspan,,,,,
24-Feb-99,Alice M. Rivlin,129,0.131687239,0.140946507,0.09259259,0.551440358,0,0,,,0.551440358,2,1,,,129,24-Feb-99,Alice M. Rivlin,,,,,
25-Feb-99,Laurence H. Meyer,130,0.098510332,0.419509858,0.398846716,0,0,0,,,0.419509858,3,1,,,130,25-Feb-99,Laurence H. Meyer,,,,,
25-Feb-99,Roger W. Ferguson,131,0.256788194,0,0,0,0,0.56400311,,,0.56400311,4,2,,,131,25-Feb-99,Roger W. Ferguson,,,,,
1-Mar-99,Alice M. Rivlin,132,0.145869941,0,0,0.305799663,0.084358521,0.346221447,,,0.346221447,2,2,,,132,1-Mar-99,Alice M. Rivlin,,,,,
3-Mar-99,Roger W. Ferguson,133,0.256746352,0.116422512,0,0.282960683,0,0.220508873,,,0.282960683,2,2,,,133,3-Mar-99,Roger W. Ferguson,,,,,
8-Mar-99,Edward M. Gramlich,134,0.085188769,0,0,0.090029038,0.616650522,0.120038725,,,0.616650522,2,2,,,134,8-Mar-99,Edward M. Gramlich,,,,,
8-Mar-99,Alan Greenspan,135,0.096799374,0.323965639,0,0,0.427010149,0,,,0.427010149,3,2,,,135,8-Mar-99,Alan Greenspan,,,,,
9-Mar-99,Alan Greenspan,136,0,0.136910275,0,0.264569849,0.367252558,0.103607774,,,0.367252558,2,1,,,136,9-Mar-99,Alan Greenspan,,,,,
10-Mar-99,Edward W. Kelley,137,0.189239338,0,0,0.23005566,0.139146566,0.341372907,,,0.341372907,2,2,,,137,10-Mar-99,Edward W. Kelley,,,,,
12-Mar-99,Laurence H. Meyer,138,0.206974134,0,0,0.105736785,0,0.543307066,,,0.543307066,3,2,,,138,12-Mar-99,Laurence H. Meyer,,,,,
16-Mar-99,Alan Greenspan,139,0.060089022,0.404302657,0,0.354599416,0,0.104599409,,,0.404302657,2,2,,,139,16-Mar-99,Alan Greenspan,,,,,
16-Mar-99,Roger W. Ferguson,140,0,0,0,0,0.742616057,0.084388189,,,0.742616057,4,2,,,140,16-Mar-99,Roger W. Ferguson,,,,,
19-Mar-99,Alan Greenspan,141,0.3437967,0.138266072,0,0.121823616,0,0.328849018,,,0.3437967,2,1,,,141,19-Mar-99,Alan Greenspan,,,,,
25-Mar-99,Edward W. Kelley,142,0.147453085,0.177613944,0,0.313002676,0,0.251340479,,,0.313002676,2,1,,,142,25-Mar-99,Edward W. Kelley,,,,,
6-Apr-99,Alice M. Rivlin,143,0.087885983,0.349960417,0,0.433095813,0,0,,,0.433095813,3,1,,,143,6-Apr-99,Alice M. Rivlin,,,,,
13-Apr-99,Roger W. Ferguson,144,0.209688574,0,0,0,0.175086498,0.426989615,,,0.426989615,3,3,,,144,13-Apr-99,Roger W. Ferguson,,,,,
14-Apr-99,Laurence H. Meyer,145,0,0.486743361,0.252126068,0.121560782,0,0,,,0.486743361,3,3,,,145,14-Apr-99,Laurence H. Meyer,,,,,
16-Apr-99,Alan Greenspan,146,0,0,0,0.7497527,0,0,,,0.7497527,5,2,,,146,16-Apr-99,Alan Greenspan,,,,,
22-Apr-99,Laurence H. Meyer,147,0.417065382,0,0.135964915,0.159888357,0,0.152312607,,,0.417065382,2,2,,,147,22-Apr-99,Laurence H. Meyer,,,,,
22-Apr-99,Edward M. Gramlich,148,0,0.319951326,0.482360095,0,0,0,,,0.482360095,4,4,,,148,22-Apr-99,Edward M. Gramlich,,,,,
26-Apr-99,Laurence H. Meyer,149,0.309951067,0,0.26508972,0.220228389,0,0,,,0.309951067,3,1,,,149,26-Apr-99,Laurence H. Meyer,,,,,
