,DateField,Date,speech_name,raw_spoke_to,spoke_to,org_exist,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
32,4/1/1997,4/4/1997,The challenges of macroeconomic policy,"At the Annual Meeting of the Eastern Economic Association, Washington, D.C.",Annual Meeting of the Eastern Economic Association,NA, Washington, D.C.,Alice M. Rivlin,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
33,4/1/1997,4/10/1997,Issues in financial modernization,"At the Seventh Annual Conference on Financial Structure, Annandale-on-Hudson, New York",Seventh Annual Conference on Financial Structure,NA, Annandale-on-Hudson, New York,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,4/1/1997,4/12/1997,The evolution of banking in a market economy,"At the Annual Conference of the Association of Private Enterprise Education, Arlington, Virginia",Annual Conference of the Association of Private Enterprise Education,NA, Arlington, Virginia,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
35,4/1/1997,4/24/1997,The economic outlook and challenges facing monetary policy,"At the Forecasters Club of New York, New York, New York",Forecasters Club of New York,NA, New York, New York,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
36,4/1/1997,4/29/1997,G-7 economic summit meeting,"At the Spring Meeting of the Institute of International Finance, Washington, D.C.",Spring Meeting of the Institute of International Finance,NA, Washington, D.C.,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,5/1/1997,5/1/1997,Technological change and the design of bank supervisory policies,"At the Conference on Bank Structure and Competition of the Federal Reserve Bank of Chicago, Chicago, Illinois",Conference on Bank Structure and Competition of the Federal Reserve Bank of Chicago,NA, Chicago, Il,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
38,5/1/1997,5/3/1997,Financial reform and importance of the state charter,"At the Annual Meeting and Conference of the Conference of State Bank Supervisors, San Diego, California",Annual Meeting and Conference of the Conference of State Bank Supervisors,NA, San Diego, California,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
39,5/1/1997,5/8/1997,Current monetary policy,"At the 1997 Haskins Partners Dinner of the Stern School of Business, New York University, New York, New York",1997 Haskins Partners Dinner of the Stern School of Business,NA, New York University, New York,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
40,5/1/1997,5/23/1997,The role of banks in small business finance,"At the Conference on Small Business Finance, New York, New York",Conference on Small Business Finance,NA, New York, New York,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,6/1/1997,6/10/1997,The embrace of free markets,"At the Woodrow Wilson Award Dinner of the Woodrow Wilson International Center for Scholars, New York, New York",Woodrow Wilson Award Dinner of the Woodrow Wilson International Center for Scholars,NA, New York, N,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
42,6/1/1997,6/18/1997,Models for neighborhood development and reinvestment,At the Annual Meeting on Neighborhood Housing Services of New York City,Annual Meeting on Neighborhood Housing Services of New York City,NA,,,Laurence H. Meyer,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
43,6/1/1997,6/18/1997,The changing financial landscape and umbrella supervision,"At the Exchequer Club, Washington, D.C.",Exchequer Club,NA, Washington, D.C.,Susan M. Phillips,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
44,9/1/1997,9/4/1997,Affordable housing,"Before the National Association of Affordable Housing Lenders̥ 1997 Northeast Regional Conference, Boston, Massachusetts",the National Association of Affordable Housing Lenders̥ 1997 Northeast Regional Conference,NA, Bos,,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
45,9/1/1997,9/5/1997,Rules vs. discretionary monetary policy,"At the 15th Anniversary Conference of the Center for Economic Policy Research at Stanford University, Stanford, California",15th Anniversary Conference of the Center for Economic Policy Research at Stanford University,NA, S,,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
46,9/1/1997,9/12/1997,"Education, technology, and economic growth","At the Building Dedication Ceremonies at the Kenan-Flagler Business School, University of North Carolina, Chapel Hill, North Carolina",Building Dedication Ceremonies at the Kenan-Flagler Business School,NA, University of North Carolin,,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
47,9/1/1997,9/12/1997,Monetary policy and the bond market: Complements or substitutes,"Before the Fixed Income Summit of PSA The Bond Market Trade Association, Washington, D.C.",the Fixed Income Summit of PSA The Bond Market Trade Association,NA, Washington, D.C.,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,9/1/1997,9/17/1997,The economic outlook and challenges facing monetary policy,"Before the 1998 Global Economic and Investment Outlook Conference, Carnegie Mellon University, Pittsburgh, Pennsylvania",the 1998 Global Economic and Investment Outlook Conference,NA, Carnegie Mellon University, Pittsbur,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
49,9/1/1997,9/19/1997,Derivatives and risk management,"At the Derivatives & Risk Management Symposium of the Fordham University School of Law, New York, New York",Derivatives & Risk Management Symposium of the Fordham University School of Law,NA, New York, New Y,Susan M. Phillips,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
50,9/1/1997,9/23/1997,The role of the Federal Reserve in the payments system,"Before the Bank Administration Institute's Symposium on Payments System Strategy, Washington, D.C.",the Bank Administration Institute's Symposium on Payments System Strategy,NA, Washington, D.C.,Edward W. Kelley,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
51,10/1/1997,10/5/1997,Technological change and the economy,"At the Annual Convention of the American Bankers Association, Boston, Massachusetts",Annual Convention of the American Bankers Association,NA, Boston, Massachusetts,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,10/1/1997,10/11/1997,Consumer credit and financial modernization,"At the Economic Development Conference of the Greenlining Institute, San Francisco, California",Economic Development Conference of the Greenlining Institute,NA, San Francisco, California,Alan Greenspan,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
53,10/1/1997,10/14/1997,Globalization of finance,"At the 15th Annual Monetary Conference of the Cato Institute, Washington, D.C.",15th Annual Monetary Conference of the Cato Institute,NA, Washington, D.C.,Alan Greenspan,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
54,10/1/1997,10/14/1997,Inaugural speech for economic seminar series,"At the University of Connecticut, Storrs, Connecticut",University of Connecticut,NA, Storrs, Connecticut,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
55,10/1/1997,10/14/1997,Globalization and U.S. monetary policy,"Before the Institute for Global Management and Research School of Business and Public Management, The George Washington University, Washington, D.C.",the Institute for Global Management and Research School of Business and Public Management,NA, The G,,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
56,10/1/1997,10/15/1997,Black Monday: 10 years later,"At a program of the Financial Women's Association, Bentley College, Waltham, Massachusetts",rogram of the Financial Women's Association,NA, Bentley College, Waltham,Susan M. Phillips,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
57,10/1/1997,10/30/1997,Trends and challenges in Federal Reserve bank supervision,"At Houston Baptist University, Houston, Texas",ston Baptist University,NA, Houston, Texas,Susan M. Phillips,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
58,10/1/1997,10/31/1997,Community development: Changes and challenges,"Before the Federal Reserve Bank of Chicago Biannual Community Development Conference, Chicago, Illinois",the Federal Reserve Bank of Chicago Biannual Community Development Conference,NA, Chicago, Illinois,Laurence H. Meyer,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
59,11/1/1997,11/4/1997,Risk management,"At the Asset/Liability and Treasury Management Conference of the Bank Administration Institute, Chicago, Illinois",Asset/Liability and Treasury Management Conference of the Bank Administration Institute,NA, Chicago,,Susan M. Phillips,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
60,11/1/1997,11/7/1997,Price measurement,"At the Center for Financial Studies Frankfurt, Germany",Center for Financial Studies Frankfurt,NA, Germany,,Alan Greenspan,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
61,12/1/1997,12/1/1997,New approaches to small business development partnerships,"At the University of Wisconsin-Milwaukee, Urban Studies Programs, Milwaukee, Wisconsin",University of Wisconsin-Milwaukee,NA, Urban Studies Programs, Milwaukee,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
62,12/1/1997,12/2/1997,Growth and flexibility: Lessons from Asia,"At The Economic Club of New York, New York, N.Y.",Economic Club of New York,NA, New York, N.Y.,Alan Greenspan,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
63,12/1/1997,12/3/1997,The role of education during rapid economic change,"At Syracuse University, Syracuse, New York",acuse University,NA, Syracuse, New York,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
64,12/1/1997,12/15/1997,"The ""Millennium Bug""","Before the Professional Banker's Association, Washington, D.C.",the Professional Banker's Association,NA, Washington, D.C.,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,1/1/1998,1/3/1998,Problems of price measurement,"At the Annual Meeting of the American Economic Association and the American Finance Association, Chicago, Illinois",Annual Meeting of the American Economic Association and the American Finance Association,NA, Chicag,,Alan Greenspan,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
66,1/1/1998,1/8/1998,The economic outlook and challenges facing monetary policy,"Before the Economic Strategy Institute, Washington, D.C.",the Economic Strategy Institute,NA, Washington, D.C.,Laurence H. Meyer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
67,1/1/1998,1/12/1998,Economic development in low- and moderate-income communities,"At a Community Forum on Community Reinvestment and Access to Credit: California's Challenge, Los Angeles, California",ommunity Forum on Community Reinvestment and Access to Credit: California's Challenge,NA, Los Angele,,Alan Greenspan,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
68,1/1/1998,1/16/1998,The underemployment of minorities,"At the Wall Street Project Anniversary Conference of the Rainbow/PUSH Coalition, New York, New York",Wall Street Project Anniversary Conference of the Rainbow/PUSH Coalition,NA, New York, New York,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,2/1/1998,2/11/1998,Year 2000: a worldwide concern ,"Before the Florida International Bankers Association and the Miami Bond Club, Miami, Florida",the Florida International Bankers Association and the Miami Bond Club,NA, Miami, Florida,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,2/1/1998,2/17/1998,Does good policy analysis matter?,"Before the Dedication of The Alice Mitchell Rivlin Conference Room, Office of the Assistant Secretary for Planning and Evaluation (ASPE), Department of Health and Human Services, Washington, D.C.",the Dedication of The Alice Mitchell Rivlin Conference Room,NA, Office of the Assistant Secretary f,,Alice M. Rivlin,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12
